empresa	03/04/2020	04/04/2020_Cerrado	05/04/2020_Cerrado	06/04/2020	07/04/2020
TOTAL	6.581,60	6.581,60	6.581,60	6.799,60	6.992,00
ACCIONA	90,1500	90,1500	90,1500	93,5000	94,5500
ACERINOX	6,1600	6,1600	6,1600	6,4900	6,6740
ACS	16,9000	16,9000	16,9000	17,9500	19,9100
AENA	102,5000	102,5000	102,5000	109,4000	115,5000
AMADEUS	42,0000	42,0000	42,0000	42,0200	48,6200
ARCELORMIT.	7,8380	7,8380	7,8380	8,5510	9,4570
B.SANTANDER	2,0970	2,0970	2,0970	2,2075	2,2380
BA.SABADELL	0,4260	0,4260	0,4260	0,4384	0,4475
BANKIA	0,9558	0,9558	0,9558	1,0090	1,0040
BANKINTER	3,0850	3,0850	3,0850	3,1880	3,3440
BBVA	2,7480	2,7480	2,7480	2,9800	2,9390
CAIXABANK	1,6195	1,6195	1,6195	1,7135	1,7375
CELLNEX	44,6500	44,6500	44,6500	44,2900	43,4900
CIE AUTOMOT.	13,0100	13,0100	13,0100	13,6500	13,6000
ENAGAS	18,4600	18,4600	18,4600	18,7700	19,0350
ENCE	2,7420	2,7420	2,7420	2,8770	2,7840
ENDESA	18,4450	18,4450	18,4450	18,6750	18,9300
FERROVIAL	20,3600	20,3600	20,3600	20,9600	22,8500
GRIFOLS CL.A	30,1800	30,1800	30,1800	30,6800	29,9400
IAG	2,2500	2,2500	2,2500	2,4440	2,7520
IBERDROLA	9,0500	9,0500	9,0500	9,1020	9,0560
INDITEX	21,9800	21,9800	21,9800	23,1000	24,4000
INDRA A	6,8600	6,8600	6,8600	7,0250	7,8000
INM.COLONIAL	8,0150	8,0150	8,0150	8,5650	8,6250
MAPFRE	1,5420	1,5420	1,5420	1,6190	1,7130
MASMOVIL	14,5100	14,5100	14,5100	15,9000	16,5000
MEDIASET	3,0700	3,0700	3,0700	3,2380	3,3260
MELIA HOTELS	3,7100	3,7100	3,7100	3,8400	4,2300
MERLIN	7,1000	7,1000	7,1000	7,3050	8,0900
NATURGY	15,7300	15,7300	15,7300	16,0850	15,9800
R.E.C.	15,6700	15,6700	15,6700	15,6900	15,5250
REPSOL	8,2520	8,2520	8,2520	8,4520	8,3800
SIEMENS GAME	13,5000	13,5000	13,5000	13,6250	13,5600
TELEFONICA	4,0450	4,0450	4,0450	4,2350	4,3900
VISCOFAN	49,5000	49,5000	49,5000	49,7200	50,4000
